"","0","1","MeanDecreaseAccuracy","MeanDecreaseGini"
"Raw_v",0.00156507638388443,0.00544380389991845,0.00331739939274204,1.26482292804036
"Delta_v",0.0042778569040179,0.0088881960175001,0.00644068136128691,1.49626308738533
"Theta_v",0.00932695147130131,0.0169605139042917,0.0122189835652754,3.199760699964
"Alpha.1_v",0.00538604718295121,0.00764062217153481,0.00645300863942089,1.75986517934845
"Alpha.2_v",0.00562753678210335,0.00446507459688574,0.00477078831206758,1.63571147943742
"Beta.1_v",0.0123045923546697,0.0116425989562852,0.0113181354145045,3.04561704019012
"Beta.2_v",0.0223351408825093,0.00613787944082062,0.0142419321290423,2.36004417686331
"Gamma1_v",0.00572444253373046,-0.000326069312897957,0.00266732217639577,1.30498537055796
"Gamma2_v",0.0161314491408145,0.0142550623984532,0.014668087336178,2.37909434752187
"Raw",0.00109377553990557,0.00636318282680512,0.00402569743895343,1.656425215189
"Delta",0.0284094291759152,0.0145658171430281,0.0204711317783013,3.52962945380383
"Theta",0.031987374046662,0.0297480872293229,0.0299047024253324,4.3693774604166
"Alpha.1",0.0182281913562873,0.0215506940685733,0.0190534923314481,3.99087041796302
"Alpha.2",0.0444216224951519,0.0142503153742654,0.0275273854787043,4.22809195779346
"Beta.1",0.00878949418314743,0.0235123633934005,0.016558377220487,2.74534604211932
"Beta.2",0.01800145657576,0.00428304703552382,0.0106187964614463,1.87827446540747
"Gamma1",0.0127621284030727,-0.00398359393407179,0.00430975744672512,1.6565077875867
"Gamma2",0.022891849997268,0.00659342970448436,0.0140693197447111,2.01517955707845
